"SMPT_NORTHING","SMPT_EASTING","SMPT","DATE_TIME","MEAS_RESULT","MEAS_DETERMINAND_CODE","MEAS_SIGN","SAMP_ID"
188169,352463,"T CHARSTON RCKS",2016-07-20 10:40:00,0.05,"6399",">",4654886
188169,352463,"T CHARSTON RCKS",2015-09-04 11:30:00,0.01,"0714","<",4628247
188169,352463,"T CHARSTON RCKS",2015-09-04 11:30:00,0.01,"0731","<",4628247
188169,352463,"T CHARSTON RCKS",2015-09-04 11:30:00,0.01,"0733","<",4628247
188169,352463,"T CHARSTON RCKS",2015-09-04 11:30:00,0.01,"6399","<",4628247
188169,352463,"T CHARSTON RCKS",2015-10-02 11:40:00,0.0222,"0714",NA,4630453
188169,352463,"T CHARSTON RCKS",2015-10-02 11:40:00,0.0404,"0731",NA,4630453
188169,352463,"T CHARSTON RCKS",2015-10-02 11:40:00,0.0122,"0733",NA,4630453
188169,352463,"T CHARSTON RCKS",2015-10-02 11:40:00,0.0241,"6399",NA,4630453
188169,352463,"T CHARSTON RCKS",2015-12-15 10:15:00,0.002,"0714",">",4637073
188169,352463,"T CHARSTON RCKS",2015-12-15 10:15:00,0.002,"0731",">",4637073
188169,352463,"T CHARSTON RCKS",2015-12-15 10:15:00,0.002,"0733",">",4637073
188169,352463,"T CHARSTON RCKS",2015-12-15 10:15:00,0.002,"6399",">",4637073
188169,352463,"T CHARSTON RCKS",2016-10-05 10:40:00,0.05,"0714",">",4661039
188169,352463,"T CHARSTON RCKS",2016-10-05 10:40:00,0.05,"0731",">",4661039
188169,352463,"T CHARSTON RCKS",2016-10-05 10:40:00,0.0495,"0733",NA,4661039
188169,352463,"T CHARSTON RCKS",2016-10-05 10:40:00,0.05,"6399",">",4661039
188169,352463,"T CHARSTON RCKS",2016-05-26 11:15:00,0.05,"0714",">",4649047
188169,352463,"T CHARSTON RCKS",2016-05-26 11:15:00,0.05,"0731",">",4649047
188169,352463,"T CHARSTON RCKS",2016-05-26 11:15:00,0.05,"0733",">",4649047
188169,352463,"T CHARSTON RCKS",2015-04-22 10:30:00,0.01,"0714","<",4617061
188169,352463,"T CHARSTON RCKS",2015-04-22 10:30:00,0.0154,"0731",NA,4617061
188169,352463,"T CHARSTON RCKS",2015-04-22 10:30:00,0.01,"0733","<",4617061
188169,352463,"T CHARSTON RCKS",2015-04-22 10:30:00,0.01,"6399","<",4617061
188169,352463,"T CHARSTON RCKS",2016-05-26 11:15:00,0.05,"6399",">",4649047
188169,352463,"T CHARSTON RCKS",2015-02-25 10:30:00,0.01,"0714","<",4612923
188169,352463,"T CHARSTON RCKS",2015-02-25 10:30:00,0.01,"0731","<",4612923
188169,352463,"T CHARSTON RCKS",2015-02-25 10:30:00,0.01,"0733","<",4612923
188169,352463,"T CHARSTON RCKS",2015-03-26 10:15:00,0.01,"0714","<",4614797
188169,352463,"T CHARSTON RCKS",2015-03-26 10:15:00,0.01,"0731","<",4614797
188169,352463,"T CHARSTON RCKS",2015-03-26 10:15:00,0.01,"0733","<",4614797
188169,352463,"T CHARSTON RCKS",2015-03-26 10:15:00,0.01,"6399","<",4614797
188169,352463,"T CHARSTON RCKS",2015-02-25 10:30:00,0.01,"6399","<",4612923
188169,352463,"T CHARSTON RCKS",2015-01-27 11:10:00,0.01,"0733","<",4610269
188169,352463,"T CHARSTON RCKS",2015-01-27 11:10:00,0.01,"6399","<",4610269
188169,352463,"T CHARSTON RCKS",2015-01-27 11:10:00,0.01,"0714","<",4610269
188169,352463,"T CHARSTON RCKS",2015-01-27 11:10:00,0.01,"0731","<",4610269
188169,352463,"T CHARSTON RCKS",2017-01-30 09:45:00,0.0541,"0714",NA,4670766
188169,352463,"T CHARSTON RCKS",2017-01-30 09:45:00,0.0565,"0731",NA,4670766
188169,352463,"T CHARSTON RCKS",2017-01-30 09:45:00,0.0279,"0733",NA,4670766
188169,352463,"T CHARSTON RCKS",2017-01-30 09:45:00,0.0548,"6399",NA,4670766
188169,352463,"T CHARSTON RCKS",2016-12-06 11:20:00,0.28,"0714",NA,4666528
188169,352463,"T CHARSTON RCKS",2016-12-06 11:20:00,0.213,"0731",NA,4666528
188169,352463,"T CHARSTON RCKS",2016-12-06 11:20:00,0.104,"0733",NA,4666528
188169,352463,"T CHARSTON RCKS",2016-12-06 11:20:00,0.213,"6399",NA,4666528
188169,352463,"T CHARSTON RCKS",2016-03-11 10:15:00,1e-04,"0714","<",4642996
188169,352463,"T CHARSTON RCKS",2016-03-11 10:15:00,1e-04,"0731","<",4642996
188169,352463,"T CHARSTON RCKS",2016-03-11 10:15:00,1e-04,"0733","<",4642996
188169,352463,"T CHARSTON RCKS",2016-03-11 10:15:00,1e-04,"6399","<",4642996
188169,352463,"T CHARSTON RCKS",2015-08-20 10:30:00,0.01,"0714","<",4626940
188169,352463,"T CHARSTON RCKS",2015-08-20 10:30:00,0.01,"0731","<",4626940
188169,352463,"T CHARSTON RCKS",2015-08-20 10:30:00,0.01,"0733","<",4626940
188169,352463,"T CHARSTON RCKS",2015-08-20 10:30:00,0.01,"6399","<",4626940
188169,352463,"T CHARSTON RCKS",2016-04-12 11:30:00,1e-04,"0714","<",4645978
188169,352463,"T CHARSTON RCKS",2016-04-12 11:30:00,1e-04,"0731","<",4645978
188169,352463,"T CHARSTON RCKS",2016-04-12 11:30:00,1e-04,"0733","<",4645978
188169,352463,"T CHARSTON RCKS",2016-02-26 10:25:00,0.054,"0714",">",4642051
188169,352463,"T CHARSTON RCKS",2016-02-26 10:25:00,0.054,"0731",">",4642051
188169,352463,"T CHARSTON RCKS",2016-02-26 10:25:00,0.054,"0733",">",4642051
188169,352463,"T CHARSTON RCKS",2016-02-26 10:25:00,0.054,"6399",">",4642051
188169,352463,"T CHARSTON RCKS",2016-04-12 11:30:00,1e-04,"6399","<",4645978
